浙江组播源,#genre#
江苏卫视高清,http://183.129.43.48:4022/udp/233.50.200.144:5140
江苏卫视高清,http://183.129.43.48:4022/udp/233.50.201.106:5140
浙江卫视高清,http://183.129.43.48:4022/udp/233.50.200.145:5140
浙江卫视高清,http://183.129.43.48:4022/udp/233.50.200.231:5140
东方卫视高清,http://183.129.43.48:4022/udp/233.50.200.146:5140
东方卫视高清,http://183.129.43.48:4022/udp/233.50.201.125:5140
湖北卫视高清,http://183.129.43.48:4022/udp/233.50.200.147:5140
湖北卫视高清,http://183.129.43.48:4022/udp/233.50.201.114:5140
广东卫视高清,http://183.129.43.48:4022/udp/233.50.200.149:5140
广东卫视高清,http://183.129.43.48:4022/udp/233.50.201.102:5140
北京卫视高清,http://183.129.43.48:4022/udp/233.50.200.179:5140
北京卫视高清,http://183.129.43.48:4022/udp/233.50.201.107:5140
广东卫视高清,http://183.129.43.48:4022/udp/233.50.200.187:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
深圳卫视高清,http://183.129.43.48:4022/udp/233.50.200.188:5140
深圳卫视高清,http://183.129.43.48:4022/udp/233.50.201.101:5140
黑龙江卫视高清,http://183.129.43.48:4022/udp/233.50.200.189:5140
黑龙江卫视高清,http://183.129.43.48:4022/udp/233.50.201.115:5140
湖南卫视高清,http://183.129.43.48:4022/udp/233.50.200.190:5140
湖南卫视高清,http://183.129.43.48:4022/udp/233.50.201.103:5140
山东卫视高清,http://183.129.43.48:4022/udp/233.50.201.105:5140
辽宁卫视高清,http://183.129.43.48:4022/udp/233.50.201.141:5140
贵州卫视高清,http://183.129.43.48:4022/udp/233.50.201.142:5140
重庆卫视高清,http://183.129.43.48:4022/udp/233.50.201.143:5140
河南卫视高清,http://183.129.43.48:4022/udp/233.50.201.144:5140
东南卫视高清,http://183.129.43.48:4022/udp/233.50.201.146:5140
都市剧场高清,http://183.129.43.48:4022/udp/233.50.200.11:5140
都市剧场高清,http://183.129.43.48:4022/udp/233.50.201.190:5140
欢笑剧场高清,http://183.129.43.48:4022/udp/233.50.200.229:5140
欢笑剧场高清,http://183.129.43.48:4022/udp/233.50.201.189:5140
动漫秀场高清,http://183.129.43.48:4022/udp/233.50.200.12:5140
动漫秀场高清,http://183.129.43.48:4022/udp/233.50.201.184:5140
游戏风云高清,http://183.129.43.48:4022/udp/233.50.200.14:5140
游戏风云高清,http://183.129.43.48:4022/udp/233.50.201.183:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
生活时尚高清,http://183.129.43.48:4022/udp/233.50.200.15:5140
生活时尚高清,http://183.129.43.48:4022/udp/233.50.201.187:5140
法治天地高清,http://183.129.43.48:4022/udp/233.50.200.120:5140
法治天地高清,http://183.129.43.48:4022/udp/233.50.201.191:5140
金色学堂高清,http://183.129.43.48:4022/udp/233.50.200.122:5140
金色学堂高清,http://183.129.43.48:4022/udp/233.50.201.186:5140
快乐垂钓高清,http://183.129.43.48:4022/udp/233.50.200.123:5140
快乐垂钓高清,http://183.129.43.48:4022/udp/233.50.201.109:5140
茶频道台高清,http://183.129.43.48:4022/udp/233.50.200.124:5140
茶频道台高清,http://183.129.43.48:4022/udp/233.50.201.188:5140
第一财经高清,http://183.129.43.48:4022/udp/233.50.200.125:5140
乐游纪实高清,http://183.129.43.48:4022/udp/233.50.200.148:5140
乐游纪实高清,http://183.129.43.48:4022/udp/233.50.201.185:5140
教育四套高清,http://183.129.43.48:4022/udp/233.50.200.162:5140
新视觉台高清,http://183.129.43.48:4022/udp/233.50.201.244:5140
优优宝贝高清,http://183.129.43.48:4022/udp/233.50.202.24:5140
晴彩竞技高清,http://183.129.43.48:4022/udp/233.50.201.193:5140
晴彩竞技高清,http://183.129.43.48:4022/udp/233.50.202.26:5140
晴彩篮球高清,http://183.129.43.48:4022/udp/233.50.201.194:5140
晴彩篮球高清,http://183.129.43.48:4022/udp/233.50.202.27:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
晴彩羽毛球高清,http://183.129.43.48:4022/udp/233.50.201.195:5140
晴彩羽毛球高清,http://183.129.43.48:4022/udp/233.50.202.28:5140
晴彩广场舞高清,http://183.129.43.48:4022/udp/233.50.201.226:5140
晴彩广场舞高清,http://183.129.43.48:4022/udp/233.50.202.29:5140
轮播频道高清,http://183.129.43.48:4022/udp/233.50.201.116:5140
轮播频道高清,http://183.129.43.48:4022/udp/233.50.201.117:5140
高清直播,http://183.129.43.48:4022/udp/233.50.200.223:5140
浙江卫视,http://183.129.43.48:4022/udp/233.50.201.100:5140
浙江钱江,http://183.129.43.48:4022/udp/233.50.201.132:5140
浙江经济,http://183.129.43.48:4022/udp/233.50.201.133:5140
浙江教育,http://183.129.43.48:4022/udp/233.50.201.134:5140
浙江新闻,http://183.129.43.48:4022/udp/233.50.201.137:5140
浙江民生,http://183.129.43.48:4022/udp/233.50.201.136:5140
浙江少儿,http://183.129.43.48:4022/udp/233.50.201.138:5140
之江纪录,http://183.129.43.48:4022/udp/233.50.202.25:5140
杭州综合,http://183.129.43.48:4022/udp/233.50.201.173:5140
杭州明珠,http://183.129.43.48:4022/udp/233.50.201.174:5140
杭州生活,http://183.129.43.48:4022/udp/233.50.201.175:5140
杭州影视,http://183.129.43.48:4022/udp/233.50.201.176:5140
杭州青少,http://183.129.43.48:4022/udp/233.50.201.177:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
杭州导视,http://183.129.43.48:4022/udp/233.50.201.182:5140
宁波综合,http://183.129.43.48:4022/udp/233.50.201.168:5140
宁波生活,http://183.129.43.48:4022/udp/233.50.201.178:5140
宁波文体,http://183.129.43.48:4022/udp/233.50.201.179:5140
宁波影视,http://183.129.43.48:4022/udp/233.50.201.180:5140
宁波少儿,http://183.129.43.48:4022/udp/233.50.201.181:5140
温州新闻,http://183.129.43.48:4022/udp/233.50.201.87:5140
绍兴新闻,http://183.129.43.48:4022/udp/233.50.201.156:5140
衢州新闻,http://183.129.43.48:4022/udp/233.50.201.155:5140
衢州公共,http://183.129.43.48:4022/udp/233.50.202.12:5140
台州新闻,http://183.129.43.48:4022/udp/233.50.201.157:5140
湖州新闻,http://183.129.43.48:4022/udp/233.50.201.158:5140
金华新闻,http://183.129.43.48:4022/udp/233.50.201.161:5140
丽水新闻,http://183.129.43.48:4022/udp/233.50.201.162:5140
嘉兴新闻,http://183.129.43.48:4022/udp/233.50.201.163:5140
桐乡新闻,http://183.129.43.48:4022/udp/233.50.201.169:5140
凤凰中文,http://183.129.43.48:4022/udp/233.50.200.42:5140
凤凰中文,http://183.129.43.48:4022/udp/233.50.200.191:5140
凤凰资讯,http://183.129.43.48:4022/udp/233.50.200.192:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.200.99:5140
来自浙江电信(183.129.43.48:4022)的组播源共有320个频道：
CCTV-1,http://183.129.43.48:4022/udp/233.50.200.130:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.200.143:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.118:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.222:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.200.247:5140
CCTV-1,http://183.129.43.48:4022/udp/233.50.201.226:5140
CCTV-2,http://183.129.43.48:4022/udp/233.50.200.100:5140
CCTV-2,http://183.129.43.48:4022/udp/233.50.200.25:5140
CCTV-2,http://183.129.43.48:4022/udp/233.50.201.119:5140
